clip_label,intermediate_category,paderborn_disposal,notes
banana peel,food,Bio-waste container / own compost,
apple core,food,Bio-waste container / own compost,
used tissue,paper,Waste paper container,
greasy pizza box,dirty,Residual waste bin,"If clean, dispose as paper waste. If soiled, residual waste."
paper coffee cup,paper,Waste paper container,"If clean, dispose as paper waste. If soiled, residual waste."
plastic bottle,plastic,Yellow bin,
glass bottle,glass,glass,
used cooking oil bottle,plastic,Yellow bin,
yogurt container,plastic,Yellow bin,Wash well
broken glass,glass,glass,
plastic shopping bag,plastic,Yellow bin,
food scraps,food,Bio-waste container / own compost,
meat bones,dirty,Residual waste bin,
vegetable peels,food,Bio-waste container / own compost,
expired medicine,medicine,Residual waste bin,
disposable mask,dirty,Residual waste bin,
aluminum can,steel,Yellow bin,
steel can,steel,Yellow bin,
cardboard box,paper,Waste paper container,"If clean, dispose as paper waste. If soiled, residual waste."
delivery packaging,paper,Waste paper container,"If clean, dispose as paper waste. If soiled, residual waste."
paper bag,paper,Waste paper container,"If clean, dispose as paper waste. If soiled, residual waste."
dirty napkin,dirty,Residual waste bin,
chewing gum,dirty,Residual waste bin,
toothbrush,dirty,Residual waste bin,
toothpaste tube,plastic,Yellow bin,
razor blade,dirty,Residual waste bin,Wrap in cloth before disposal.
light bulb,mixture,Residual waste bin,
LED bulb,electronic,Back to retailer,
mobile phone,electronic,Back to retailer,
television,electronic,Back to retailer,
old laptop,electronic,Back to retailer,
printer cartridge,electronic,Back to retailer,"If clean, back to retailer. If not empty, residual waste."
cooking pot,metal,Yellow bin,
enamel cookware,metal,Yellow bin,
rusty knife,recycle,ASP,Wrap in cloth before disposal.
food container (plastic),plastic,Yellow bin,
food container (glass),glass,glass,
foil wrap,steel,Yellow bin,
sponge,dirty,Residual waste bin,
fork,metal,Yellow bin,"If it is plastic, yellow bin. If not empty, residual waste."
wooden chopsticks,bio,Bio-waste container / own compost,"If not processed, Bio-waste. If it is coated on the surface, residual waste."
straw,plastic,Yellow bin,
old shoes,cloth,clothes,
used socks,cloth,clothes,
broken hanger,mixture,Residual waste bin,
umbrella,mixture,Residual waste bin,
CD,plastic,Yellow bin,
electric kettle,electronic,Back to retailer,
microwave oven,electronic,Back to retailer,
damaged keyboard,electronic,Back to retailer,
vacuum cleaner,electronic,Back to retailer,
fan,electronic,Back to retailer,
iron,electronic,Back to retailer,
hair dryer,electronic,Back to retailer,
lipstick container,plastic,Yellow bin,"If empty, yellow bin. If not empty, residual waste."
perfume bottle,glass,glass,"If empty, glass or plastic. If not empty, residual waste."
used candle,dirty,Residual waste bin,
burned match,dirty,Residual waste bin,
paint can,chemical,Hazardous materials collection,
thermometer,chemical,Hazardous materials collection,"If electronic, back to retailer. If mercury, Hazardous materials collection."
wrapping paper,paper,Waste paper container,
plastic lid,plastic,Yellow bin,
spray can,chemical,Hazardous materials collection,"If empty, yellow bin."
tube,chemical,Hazardous materials collection,
toilet cleaner bottle,chemical,Hazardous materials collection,
chemical,chemical,Hazardous materials collection,
alkaline battery,battery,Back to retailer,
car battery,battery,Back to retailer,
lithium battery,battery,Back to retailer,
nickel-cadmium battery,battery,Back to retailer,
mercury battery,battery,Back to retailer,
zinc-carbon battery,battery,Back to retailer,
used oil bottle,oil,Back to retailer,
oil filter,oil,Back to retailer,
PU foam can,oil,Back to retailer,
spray glue can,oil,Back to retailer,
bicycle tyre,tyre,Back to retailer,
bicycle,vehicle,Back to retailer,
aluminium foil,metal,Yellow bin,
latex gloves,plastic,Yellow bin,
plastic bottle,plastic,Yellow bin,
plastic packaging,plastic,Yellow bin,
plastic toy,plastic,Yellow bin,
plexiglass,plastic,Yellow bin,
scrap metal,metal,Yellow bin,
sheet metal,metal,Yellow bin,
lighter,metal,Yellow bin,
milk carton,plastic,Yellow bin,
tealight (empty),plastic,Yellow bin,
tealight (with wax),plastic,Yellow bin,
toothbrush,plastic,Yellow bin,
metal tube,plastic,Yellow bin,
vinyl record,plastic,Yellow bin,
watering can,plastic,Yellow bin,
yoghurt container,plastic,Yellow bin,
aluminium lid,plastic,Yellow bin,
cooking pot,plastic,Yellow bin,
crown cap,plastic,Yellow bin,
disposable gloves,plastic,Yellow bin,
disposable tableware (clean),plastic,Yellow bin,
dishwashing brush,plastic,Yellow bin,
drink carton,plastic,Yellow bin,
felt pen,plastic,Yellow bin,
foil wrap,plastic,Yellow bin,
hairbrush (plastic),plastic,Yellow bin,
juice carton,plastic,Yellow bin,
egg carton (plastic),plastic,Yellow bin,
cigarette butts,others,Residual waste,
razorblades,others,Residual waste,
diapers,others,Residual waste,
pizza box (dirty),others,Residual waste,
toys (dirty or mixed material),others,Residual waste,
sanitary pad,others,Residual waste,
tampon,others,Residual waste,
cat litter,others,Residual waste,
disposable tableware (dirty),others,Residual waste,
sponges,others,Residual waste,
mirror glass,others,Residual waste,
vacuum cleaner bag,others,Residual waste,
toilet bowl,others,Residual waste,
umbrella,others,Residual waste,
video cassette,others,Residual waste,
shards (glass or ceramic),others,Residual waste,
doormat,others,Residual waste,
baking paper,others,Residual waste,
earthenware,others,Residual waste,
condoms,others,Residual waste,
cotton buds,others,Residual waste,
flower pot (clay),others,Residual waste,
rubber,others,Residual waste,
cheese rind,others,Residual waste,
school bag,others,Residual waste,
wax candle (used),others,Residual waste,
thermos flask,others,Residual waste,
spectacles (glasses),others,Residual waste,
mattress,furniture,Bulky Waste,
sofa,furniture,Bulky Waste,
bathtub,furniture,Bulky Waste,
suitcase,furniture,Bulky Waste,
parasol,furniture,Bulky Waste,
ski equipment,furniture,Bulky Waste,
garden chair,furniture,Bulky Waste,
bed frame,furniture,Bulky Waste,
carpet roll,furniture,Bulky Waste,
venetian blinds,furniture,Bulky Waste,
window frame,furniture,Bulky Waste,
wooden beam,furniture,Bulky Waste,
painter’s sheet,furniture,Bulky Waste,
animal cage,furniture,Bulky Waste,
plastic garden furniture,furniture,Bulky Waste,
wooden garden furniture,furniture,Bulky Waste,
insulation material,furniture,Bulky Waste,
asbestos panel,furniture,Bulky Waste,
railway sleeper,furniture,Bulky Waste,
balcony furniture,furniture,Bulky Waste,
fence,furniture,Bulky Waste,
PVC flooring,furniture,Bulky Waste,
brick,furniture,Bulky Waste,
construction waste,furniture,Bulky Waste,
glass wool,furniture,Bulky Waste,
concrete debris,furniture,Bulky Waste,
wading pool,furniture,Bulky Waste,
grave candle,furniture,Bulky Waste,
roof beam,furniture,Bulky Waste,
clothes,cloth,clothes,
shoes,cloth,clothes,
pillow,cloth,clothes,
towel,cloth,clothes,
curtain,cloth,clothes,
Book,paper,Waste paper container,
Cardboard,paper,Waste paper container,
Egg cartons,paper,Waste paper container,
Newspapers,paper,Waste paper container,
magazine,paper,Waste paper container,
